"year","state","month","number","date"
1998,"Acre","Enero",0,1998-01-01
1999,"Acre","Enero",0,1999-01-01
2000,"Acre","Enero",0,2000-01-01
2001,"Acre","Enero",0,2001-01-01
2002,"Acre","Enero",0,2002-01-01
2003,"Acre","Enero",10,2003-01-01
2004,"Acre","Enero",0,2004-01-01
2005,"Acre","Enero",12,2005-01-01
2006,"Acre","Enero",4,2006-01-01
2007,"Acre","Enero",0,2007-01-01
2008,"Acre","Enero",0,2008-01-01
2009,"Acre","Enero",0,2009-01-01
2010,"Acre","Enero",1,2010-01-01
2011,"Acre","Enero",0,2011-01-01
2012,"Acre","Enero",0,2012-01-01
2013,"Acre","Enero",0,2013-01-01
2014,"Acre","Enero",0,2014-01-01
2015,"Acre","Enero",1,2015-01-01
2016,"Acre","Enero",12,2016-01-01
2017,"Acre","Enero",0,2017-01-01
1998,"Acre","Febrero",0,1998-01-01
1999,"Acre","Febrero",0,1999-01-01
2000,"Acre","Febrero",0,2000-01-01
2001,"Acre","Febrero",0,2001-01-01
2002,"Acre","Febrero",1,2002-01-01
2003,"Acre","Febrero",0,2003-01-01
2004,"Acre","Febrero",3,2004-01-01
2005,"Acre","Febrero",0,2005-01-01
2006,"Acre","Febrero",0,2006-01-01
2007,"Acre","Febrero",5,2007-01-01
2008,"Acre","Febrero",0,2008-01-01
2009,"Acre","Febrero",2,2009-01-01
2010,"Acre","Febrero",0,2010-01-01
2011,"Acre","Febrero",0,2011-01-01
2012,"Acre","Febrero",0,2012-01-01
2013,"Acre","Febrero",0,2013-01-01
2014,"Acre","Febrero",0,2014-01-01
2015,"Acre","Febrero",2,2015-01-01
2016,"Acre","Febrero",5,2016-01-01
2017,"Acre","Febrero",1,2017-01-01
1998,"Acre","Marzo",0,1998-01-01
1999,"Acre","Marzo",0,1999-01-01
2000,"Acre","Marzo",11,2000-01-01
2001,"Acre","Marzo",0,2001-01-01
2002,"Acre","Marzo",0,2002-01-01
2003,"Acre","Marzo",0,2003-01-01
2004,"Acre","Marzo",0,2004-01-01
2005,"Acre","Marzo",3,2005-01-01
2006,"Acre","Marzo",0,2006-01-01
2007,"Acre","Marzo",2,2007-01-01
2008,"Acre","Marzo",0,2008-01-01
2009,"Acre","Marzo",1,2009-01-01
2010,"Acre","Marzo",0,2010-01-01
2011,"Acre","Marzo",0,2011-01-01
2012,"Acre","Marzo",1,2012-01-01
2013,"Acre","Marzo",2,2013-01-01
2014,"Acre","Marzo",1,2014-01-01
2015,"Acre","Marzo",2,2015-01-01
2016,"Acre","Marzo",0,2016-01-01
2017,"Acre","Marzo",0,2017-01-01
1998,"Acre","Abril",0,1998-01-01
1999,"Acre","Abril",0,1999-01-01
2000,"Acre","Abril",1,2000-01-01
2001,"Acre","Abril",0,2001-01-01
2002,"Acre","Abril",0,2002-01-01
2003,"Acre","Abril",1,2003-01-01
2004,"Acre","Abril",2,2004-01-01
2005,"Acre","Abril",1,2005-01-01
2006,"Acre","Abril",0,2006-01-01
2007,"Acre","Abril",0,2007-01-01
2008,"Acre","Abril",0,2008-01-01
2009,"Acre","Abril",0,2009-01-01
2010,"Acre","Abril",3,2010-01-01
2011,"Acre","Abril",2,2011-01-01
2012,"Acre","Abril",1,2012-01-01
2013,"Acre","Abril",19,2013-01-01
2014,"Acre","Abril",7,2014-01-01
2015,"Acre","Abril",3,2015-01-01
2016,"Acre","Abril",0,2016-01-01
2017,"Acre","Abril",1,2017-01-01
1998,"Acre","Mayo",0,1998-01-01
1999,"Acre","Mayo",0,1999-01-01
2000,"Acre","Mayo",1,2000-01-01
2001,"Acre","Mayo",0,2001-01-01
2002,"Acre","Mayo",0,2002-01-01
2003,"Acre","Mayo",6,2003-01-01
2004,"Acre","Mayo",7,2004-01-01
2005,"Acre","Mayo",2,2005-01-01
2006,"Acre","Mayo",8,2006-01-01
2007,"Acre","Mayo",1,2007-01-01
2008,"Acre","Mayo",0,2008-01-01
2009,"Acre","Mayo",3,2009-01-01
2010,"Acre","Mayo",9,2010-01-01
2011,"Acre","Mayo",3,2011-01-01
2012,"Acre","Mayo",3,2012-01-01
2013,"Acre","Mayo",4,2013-01-01
2014,"Acre","Mayo",1,2014-01-01
2015,"Acre","Mayo",2,2015-01-01
2016,"Acre","Mayo",21,2016-01-01
2017,"Acre","Mayo",10,2017-01-01
1998,"Acre","Junio",3,1998-01-01
1999,"Acre","Junio",0,1999-01-01
2000,"Acre","Junio",1,2000-01-01
2001,"Acre","Junio",1,2001-01-01
2002,"Acre","Junio",0,2002-01-01
2003,"Acre","Junio",0,2003-01-01
2004,"Acre","Junio",5,2004-01-01
